,"DET","UNIDAD ",,,,"CIUDAD","ESTADO ",,"LADA","CONMUTADOR","DIRECTO","EXT.",,,,"S"
2,2765,"SAN JOSE DEL CABO",,,,"SAN JOSE DEL CABO","BAJA CALIFORNIA SUR",,"01 (624)","146 98 42 / 130 75 78 / 130 79 07 / 130 79 46 / 142 08 67",,"Ext. 103",,,,
2,3069,"LOS CABOS",,,,"CABO SAN LUCAS","BAJA CALIFORNIA SUR",,"01 (624)","144 7114/ 17/ 18/ 19",,"Ext. 103",,,,
2,3504,"AV. JESUS DEL MONTE",,,,"HUIXQUILUCAN ","EDO MEX",,"01 (55) ","5247 3187 / 3469 / 3794 / 3797 / 4207","EXT 102",,,,,
2,3848,"TAXQUEÑA",,,,"MEXICO ","D.F.",,"01 (55)","5661 2787/ 1788 /  0912","56 62 38 08","Fax. Ext. 149",,,,
2,3858,"CUAJIMALPA",,,,"MEXICO ","D,F",,"01 (55)","5812 2345 / 1841 / 2735 / 2123 / 2164 ",,"Ext. 105",,,,
2,3863,"PERIFERICO SUR",,,,"MEXICO ","D.F.",,"01 (55)","5606 5340 / 5855",,"Ext. 105",,,,
2,4156,"COLA DE BALLENA",,,,"LA PAZ","BAJA CALIFORNIA SUR",,"01 (612)","124 2314 / 2315 / 2316 / 2317 / 2318 / 2319",,,,,,
2,1425,"BAHIA DE BANDERAS",,,,"NUEVO VALLARTA","NAYARIT",,"01 (322)","297 2959 / 297 2991 / 297 3029 / 297 3031 / 297 3047",,,,,,
2,1550,"MACRO PLAZA VALLARTA",,,,"PTO. VALLARTA","JALISCO",,"01 (322)","224 94 23 / 224 90 72 / 224 91 78 / 224 92 88",,"Ext. 102 y 103",,,,
2,2430,"COPILCO",,,,"MEXICO ","D.F.",,"01 (55)","5659 2790 / 56 59 30 40",,"Ext. 105",,,,
2,2689,"FELIX CUEVAS",,,,"MEXICO","D.F.",,"01 (55)","5534 8100 AL 09",,"Ext. 105",,,,
2,3747,"PITILLAL",,,,"PTO. VALLARTA","JALISCO ",,"01 (322)","221 0562 / 0870 / 0916/ 1271","221 0517","Ext. 105",,,,
2,3845,"UNIVERSIDAD",,,,"MEXICO","D.F.",,"01 (55)","5604 0033 / 02 13","56 04 02 73","Ext. 105",,,,
2,3852,"PLATEROS",,,,"MEXICO","D.F.",,"01 (55)","5593 1077 / 1388 / 1188",,"Fax. Ext. 316",,,,
2,3876,"LAS AGUILAS",,,,"MEXICO","D.F.",,"01 (55)","5660 6039/5231 5664 0008 / 5664 4282 / 5664 2949",,"Ext. 102,105 y 103",,,,
2,3895,"TEPIC",,,,"TEPIC","NAYARIT",,"01 (311)","210 02 38  / 210 02 45  / 210 02 47  ",,"Ext. 102 y 103",,,,
2,1138,"DELICIAS",,,,"DELICIAS","CHIHUAHUA",,"01 (639)","470 03 16 / 470 0181 / 4700175",,"Ext. 103",,,,
2,1170,"PARRAL",,,,"HIDALGO DEL PARRAL","CHIHUAHUA",,"01 (627)","523-32-68 / 523-19-59 / 523-17-44 / 523-22-60 / 523-27-16 / 523-28-58",,,,,,
2,1623,"CD. CUAUHTEMOC",,,,"CD. CUAUHTEMOC","CHIHUAHUA",,"01 (625)","5905375-80",,,,,,
2,2049,"AV. ZARAGOZA",,,,"CD. JUAREZ","CHIHUAHUA",,"01 (656)","2588295 / 258 8296/ 258 8297/ 258 8298/ 258 8299/ 258 8300/ 258 8301/ 258 8302/ 258 8303/ 258 8304",,"258 8305 Ext. 102 y 103",,,,
2,2089,"PLAZA MONUMENTAL ",,,,"CD. JUAREZ","CHIHUAHUA",,"01 (656)","613 2621/ 3154/ 3880/ 5149/ 5461",6132621,"Ext.102-103-105",,,,
2,2302,"CHIHUAHUA",,,,"CHIHUAHUA","CHIHUAHUA",,"01 (614)","423 56 07  al 13 ","4 23 38 59","Ext. 114 Y 130",,,,
2,2375,"TORREON",,,,"TORREON","COAHUILA",,"01 (871)","729 0010","7 22 24 22","Ext. 102",,,,
2,2377,"CD. JUAREZ",,,,"CD. JUAREZ","CHIHUAHUA",,"01 (656)","6235899 y 6236116",,"Ext. 104",,,,
2,3033,"FUENTES MARES",,,,"CHIHUAHUA","CHIHUAHUA",,"01 (614)","435 8868/ 435 9033/ 435 9171/ 9194/  9435/ 9602/  9629/  9700/  9738/  9752",,"Ext.102",,,,
2,3358,"CORDILLERAS",,,,"CHIHUAHUA","CHIHUAHUA",,"01 (614)","498 9083",,,,,,
2,3622,"LA ROSITA",,,,"TORREON","COAHUILA",,"01 (871)","730 8019 / 7307113",,"Ext. 102 y 103 Fax 141",,,,
2,5728,"NORTE 2000",,,,"CHIHUAHUA","CHIHUAHUA",,"01 (614)","481 73 95 / 4222 / 7322/ 6451",,"Ext. 103",,,,
2,5764,"TORRES DEL SUR",,,,"CD. JUAREZ","CHIHUAHUA",,"01 (656)","690 6704",,"Ext. 103",,,,
2,1007,"MONCLOVA",,,,"MONCLOVA ","COAHUILA",,"01 (86)","6648 2579 AL 89/ 2397","66 48 25 89","6648 2589",,,,
2,1027,"SENDERO ",,,,"MONTERREY","NUEVO LEON ",,"01 (81)","8397 93 55      57,58,59,60",,"8397 9365",,,,
2,1404,"GALERIAS SALTILLO",,,,"SALTILLO","COAHUILA",,"01 (844)","485 3695 AL 99","485 3695 ","Ext. 105",,,,
2,1833,"LA PASTORA",,,,"GUADALUPE","NUEVO LEON ",,"01 (81)","83236643 / 83236634 al 38",,,,,,
2,2034,"LAS TORRES",,,,"MONTERREY","NUEVO LEON ",,"01 (81)","8318 0434","83 49 01 53","Ext 172",,,,
2,2076,"MIGUEL ALEMAN",,,,"MONTERREY","NUEVO LEON ",,"01 (81)","8334 8300 AL 06",,"Ext 170",,,,
2,2179,"SAN NICOLAS",,,,"MONTERREY","NUEVO LEON ",,"01 (81)","86612488 - 91 / 86612530 - 42 -51 - 55",,,,,,
2,2465,"SALTILLO",,,,"SALTILLO","COAHUILA",,"01 (844)","414 0029 / 1084 / 0224",,"Ext. 171",,,,
2,2676,"LA FE",,,,"MONTERREY","NUEVO LEON ",,"01 (81)","8140 0249 / 54","81 40 02 54","8140 0254",,,,
2,3051,"PLAZA CENTRIKA",,,,"MONTERREY","NUEVO LEON ",,"01 (81)","8331 7224 / 8351 1935/ 8351 2695/ 2754/ 2955/ 3050/ 3169/ 3238/ 3260/ 4795 ",,"83 51 59 78",,,,
2,3091,"AVE. REFORMA",,,,"NUEVO LAREDO","TAMAULIPAS",,"01 (867)","717 0837 / 717 1069 / 717 1580/ 717 4301 - 40",,,,,,
2,3800,"GUADALUPE",,,,"MONTERREY","NUEVO LEON ",,"01 (81)","8361 5380/ 8361 5260/ 8361 5440","Ext 105",,,,,
2,4138,"VILLA JUAREZ ",,,,"MONTERREY","NUEVO LEON ",,"01(81)","88627293-99",88617303,,,,,
2,4548,"ELOY CAVAZOS",,,,"MONTERREY","NUEVO LEON ",,"01 (81)","8393 6086 / 88 / 89","83 93 60 87","8393 6098",,,,
2,1139,"LA HUASTECA",,,,"MONTERREY","NUEVO LEON ",,"01 (81)","8390 7665/ 3189/ 4947/ 4428/ 5179","Ext 102","Ext 103",,,,
2,1205,"ALIJADORES",,,,"TAMPICO ","TAMAULIPAS",,"01 (833)","2122717 /2149137/2121157/2121437/2121578/2121714",,,,,,
2,1206,"EL PASITO",,,,"REYNOSA","TAMAULIPAS",,"01 (899)","953 48 03/  953-48-04 /05-07",,,,,,
2,1622,"GOMEZ MORIN ",,,,"MONTERREY","NUEVO LEON ",,"01 (81)","8335 4750 o 83354790",,,,,,
2,1902,"AEROPUERTO TAMPICO",,,,"TAMPICO ","TAMAULIPAS",,"01 (833)","2277427 / 2277327/ 1259425 / 1259546 / 1259664",,,,,,
2,2044,"VALLE ORIENTE",,,,"MONTERREY","NUEVO LEON ",,"01 (81)","8363 5062 AL 64 / 48/ 45/ 3479/ 3651/ 3869/ 2804","83 63 50 79","8363 5079",,,,
2,2378,"TAMPICO",,,,"TAMPICO ","TAMAULIPAS",,"01 (833)","229 1400","2 28 81 00","228 80 44",,,,
2,2540,"VICTORIA CENTRO",,,,"CD. VICTORIA","TAMAULIPAS",,"01 (834)","3161781 / 3059349 / 3147123 / 3161629 / 3163532 / 3164352",,,,,,
2,3630,"LAS ADELITAS",,,,"CD. VICTORIA","TAMAULIPAS",,"01 (834)","305 0725 AL 31","3 05 07 35","Ext. 105",,,,
2,3719,"MATAMOROS",,,,"MATAMOROS","TAMAULIPAS",,"01 (868)","819 5633 / 42",,"819 5643",,,,
2,3720,"LINCOLN     ",,,,"MONTERREY","NUEVO LEON ",,"01 (81)","1167 1381 AL 86",,"1167 1391",,,,
2,4025,"CIUDAD MADERO",,,,"TAMPICO ","TAMAULIPAS",,"01 (833)","274  1427 / 36",,"274  1437",,,,
2,4137,"CHAPULTEPEC",,,,"MONTERREY","NUEVO LEON ",,"01 (81)","84864517/4518/4519/4520/4521/4522","Ext 102",,,,,
